BOR;AN;FI;FI_EJ;SPED;UPED;LIT_PED;PLA_PED;SEJHP_PED;SEJHC_PED;JOU_PED;EFFPL_PM;EFFPL_PED;EFFPA_PM;EFFPA_PED;ETP_PM;ETP_PED;GAR_PM;GAR_PED;AST_PM;AST_PED;EFFPL_INFNS;EFFPL_PUE;EFFPL_AUX;EFFPL_KINE;EFFPL_PSY;EFFPL_APNM;EFFPA_INFNS;EFFPA_PUE;EFFPA_AUX;EFFPA_KINE;EFFPA_PSY;ETP_INFNS;EFFPA_APNM;ETP_PUE;ETP_AUX;ETP_KINE;ETP_PSY;ETP_APNM
MCOPED;2013;010000024;010780054;1;1;22;0;1958;352;4978;4;4;;;2.2;2.2;;1;;1;4;4;2;;;4;6;8;7;;1;8.68;3;9.03;5.96;;0.66;6.06
MCOPED;2013;010000032;010780062;1;1;14;1;654;239;1602;1;1;1;1;1.6;1.6;0;0;1;1;4;1;5;;;;2;1;4;;2;5.81;2;1.1;8.55;;0.52;1.44
MCOPED;2013;010005239;010008407;1;0;14;1;892;118;3061;1;;5;;2.55;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2013;020000162;020000063;1;1;30;4;2295;555;5825;2;2;5;5;5;5;1;1;1;1;13;18;30;0;3;26;10;5;7;0;2;23.13;6;21.74;37.01;0;3.37;26.72
MCOPED;2013;020000394;020000253;1;1;17;1;2356;333;6744;2;2;2;2;2.73;2.73;0;0;0;0;11;0;6;0;1;9;4;0;1;0;1;10.51;1;0;7.16;0;1.55;7.94
MCOPED;2013;020000519;020000261;1;1;22;2;1359;140;4678;7;7;1;;6.78;6.75;1;1;1;1;9;;5;;;5;8;2;8;;;16.95;7;1.43;11.44;;;10.42
MCOPED;2013;020000535;020000287;1;0;4;0;347;9;1682;0;;;;;;;;;;4;3;1;;;1;;;2;;;3.5;;2.94;2;;;1.04
MCOPED;2013;020001061;020004404;1;1;12;;775;142;1590;;;;;1.35;1.35;0;0;1;1;3;6;6;;;3;;;;;;2.2;1;5.59;5.57;0.1;;3.65
MCOPED;2013;020001087;020004495;1;0;;1;0;80;0;0;;1;;0.2;;0;;0;;;;;;;;;;;;;;;;;;;
MCOPED;2013;030000061;030780092;1;0;17;2;1331;497;3024;4;4;1;;2.84;2.28;0;0;1;1;11;4;3;;1;14;5;4;2;;1;12.69;6;6.84;4.25;;1.8;17.53
MCOPED;2013;030000079;030780100;1;1;34;0;1724;455;3601;5;5;3;3;6.12;6.12;0;0;1;1;9;3;15;1;1;12;5;2;6;;;17.16;3;5.48;22.15;0.8;1;19.53
MCOPED;2013;030000087;030780118;1;0;22;0;1724;287;4664;4;4;2;2;4.9;4.9;0;0;1;1;12;3;14;0;0;9;5;4;4;0;1;14.72;2;7.05;17.16;0;0.5;9.56
MCOPED;2013;040000093;040780215;1;0;8;0;701;132;1319;1;1;3;3;2.4;2.4;0;0;1;1;3;1;;;;;;2;;1;;2.13;;2.6;;0.15;;
MCOPED;2013;040000911;040788879;1;0;2;1;393;7;1800;1;1;;;1;1;0;0;1;1;;;;;;;;;;;;;;;;;;
MCOPED;2013;050000231;050000116;1;0;12;1;394;33;947;2;;1;;2.4;;0;;1;;5;;2;;;1;1;1;1;;;4.75;1;0.2;2.83;;;1.54
MCOPED;2013;050000348;050002948;1;0;9;1;1052;111;2498;5;5;0;0;3.79;3.79;0;0;0;0;1;4;3;0;0;5;4;6;12;0;0;4.2;4;8;11.65;0;0;5.47
MCOPED;2013;060000478;060780897;1;1;25;2;1289;223;2962;0;0;0;0;0;0;;;;;2;10;8;0;0;3;2;8;3;1;2;3.83;0;16.4;10.67;0.28;0.42;3.06
MCOPED;2013;060000510;060780954;1;1;23;1;1325;381;2978;5;5;6;6;4.84;4.84;0;;1;;5;4;6;0;0;7;2;7;5;0;0;6.18;4;10.55;7.86;0;0;11
MCOPED;2013;060000544;060780988;1;1;18;5;1337;581;3334;5;5;5;3;4.7;4.5;1;1;0;0;8;5;11;1;1;9;0;2;4;;;7.62;0;6.95;13.99;0.3;0.1;8.05
MCOPED;2013;060019288;060017019;1;1;0;0;3915;2502;13695;0;0;0;0;29.83;11.85;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;48.85;0;33.68;56.76;1.49;4.1;56.79
MCOPED;2013;060021631;060017019;1;;0;0;235;0;1073;0;0;0;0;5.87;4.55;;;;;0;0;0;0;0;0;0;0;0;0;0;20.02;0;28.05;11.86;0.8;2.25;14.35
MCOPED;2013;060780947;060800174;1;1;110;12;3829;2256;12252;53;26;50;11;32.81;12.23;1;1;1;1;74;50;89;0;3;167;27;16;24;9;7;41.02;76;30.85;47.28;1.57;3.07;94.56
MCOPED;2013;060789195;060785011;1;0;13;8;221;932;955;9;6;6;5;2.38;2.29;0;0;1;1;51;9;11;;5;424;10;4;0;;2;54.68;105;12.13;11;;5.63;465.73
MCOPED;2013;070000179;070780358;1;1;15;0;1197;382;2500;26;4;1;0;26.62;4;0;0;1;1;10;3;7;0;1;75;13;5;22;0;0;19.44;68;6.23;23.82;0;0.2;117.09
MCOPED;2013;070000195;070780374;1;0;;;2;0;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCOPED;2013;070000609;070005566;1;0;10;1;966;175;2112;4;4;1;1;4.82;4.82;;;;;2;6;0;0;0;1;2;6;0;0;0;3.3;0;9.92;0;0;0;1
MCOPED;2013;080000110;080000037;1;1;18;2;936;1037;2348;3;3;0;0;3;3;1;0;0;1;3;5;8;;;2;3;5;6;;1;5.1;;9;10.8;;0.5;2
MCOPED;2013;080000425;080000615;1;1;22;7;1743;745;4941;4;4;1;1;3.84;3.84;1;1;0;0;2;4;9;;;1;4;4;7;;;4.97;10;6.97;14.64;;;6.03
MCOPED;2013;090000175;090781774;1;0;7;2;989;374;2084;7;7;1;1;2.06;2.06;0;0;1;1;8;8;;;;17;1;4;;;;4.25;5;6.11;;;;7.07
MCOPED;2013;100000090;100000017;1;0;31;4;2300;978;8096;4;4;2;2;4.19;4.19;0;0;1;1;8;4;15;;1;4;3;1;1;;2;10.74;2;4.5;15.94;;1.95;5.89
MCOPED;2013;110000023;110780061;1;0;15;4;1326;705;2713;3;3;0;0;1.5;1.5;0;0;1;1;8;4;11;2;0;1;1;0;2;0;1;7.99;1;3.29;10.92;0.1;0.3;0.99
MCOPED;2013;110000056;110780137;1;0;16;0;1266;245;2946;4;4;1;1;4.4;4.4;0;0;1;1;7;3;5;;;3;3;1;1;;;9.9;;3.8;5.8;;;2.5
MCOPED;2013;120000039;120780044;1;0;11;2;1025;156;2292;5;5;4;3;6.38;5.63;0;;1;;1;12;2;;;3;;11;;;;0.75;1;21.05;0.54;;;3.36
MCOPED;2013;130000409;130041916;1;1;19;4;2548;1210;6420;12;12;9;9;7.69;7.69;1;1;1;1;12;4;18;3;1;17;14;7;3;;2;20.92;5;9.85;20.83;0.14;1.8;16.95
MCOPED;2013;130000565;130781446;1;;16;2;179;424;474;2;2;8;8;6;6;1;1;0;0;7;2;6;;;5;5;5;7;;2;8.55;3;6.36;11.49;;0.34;6.89
MCOPED;2013;130001225;130782634;1;0;14;1;1576;252;3510;6;6;3;2;5.59;5.57;;;;;3;3;9;0;1;5;4;6;11;0;0;5.91;0;9.04;11.81;0;0.25;5.08
MCOPED;2013;130002827;130789274;1;0;2;0;159;19;716;1;1;;;1;1;;;1;1;;;;;;1;;;;;;;;;;;;0.6
MCOPED;2013;130002835;130789316;1;1;22;2;1395;645;3077;7;7;7;2;9.65;8.3;1;1;0;0;14;0;7;0;0;13;9;0;5;0;0;18.58;9;0;10.59;0;0;18.61
MCOPED;2013;130780521;130786049;1;;67;5;3681;1955;15028;5;4;2;2;3.01;2.44;;;;;11;8;9;;1;1;6;4;4;;;10.03;;8.54;11.36;;1;1
MCOPED;2013;130785652;130014228;1;1;46;10;6983;1418;3417;5;2;23;23;9.68;6.9;1;1;0;0;16;9;21;;;17;3;6;;;;12.67;1;12.22;21;;;17.5
MCOPED;2013;130804297;130786049;1;1;197;62;10469;14422;50414;32;26;;;24.5;19.7;;;;;78;55;69;;9;9;20;55;11;;3;67.53;3;49.1;61.94;;8.65;8.65
MCOPED;2013;140000027;140000035;1;1;31;3;2842;746;8283;6;6;2;2;6.77;6.77;1;1;;;21;8;11;0;1;28;15;7;4;1;1;32.9;3;12.8;12.38;0.2;1.14;25.49
MCOPED;2013;140000209;140000100;1;1;81;12;4774;3496;18566;19;13;5;5;13.17;8.87;1;1;0;0;10;19;38;;;28;14;23;15;;1;18.65;9;35.16;39.67;;0.5;30.86
MCOPED;2013;140000233;140000118;1;0;16;2;1114;203;3250;4;4;1;1;4.2;4.2;0;0;1;1;3;;3;;;6;3;1;1;;1;4.8;7;1.51;3.8;;0.3;10.69
MCOPED;2013;140024886;140000092;1;0;10;1;747;258;1913;4;;2;;4.34;;0;;1;;3;2;5;;;1;1;;2;;;3.8;4;2;6.62;;;3.75
MCOPED;2013;150000040;150780096;1;0;16;;1573;;2609;4;4;2;2;3.9;3.9;0;0;1;1;4;2;10;;;2;1;1;1;;;5.25;4;2.8;12.24;;;4.21
MCOPED;2013;160000253;160000451;1;1;24;4;1391;388;3524;6;6;2;2;3.28;3.28;1;1;0;0;26;8;8;0;0;25;14;4;4;0;1;33.62;14;11.36;10.57;0;0.26;32.74
MCOPED;2013;170000087;170023279;1;0;28;5;2042;1239;4926;8;8;3;3;8.13;8.13;0;0;;0;4;;10;1;;7;8;8;12;;1;10.61;4;6.41;18.19;0.37;0.4;8.3
MCOPED;2013;170000103;170780175;1;0;25;0;2869;0;6190;8;8;1;1;7.12;7.12;1;1;0;0;23;6;15;1;;1;11;17;13;;;10;;7.05;13.45;0.5;;1
MCOPED;2013;170000152;170780225;1;1;14;2;1252;152;2925;4;4;5;5;6.65;6.65;1;1;1;1;17;6;19;;1;3;;;;;;14;;5.68;16.02;;0.5;2.58
MCOPED;2013;180000010;180000028;1;0;22;3;1374;397;2578;4;4;;;4.25;4;0;;1;;6;4;2;;;;;;;;;6;;4;2;;;
MCOPED;2013;180000200;180000051;1;0;10;1;808;175;1621;3;3;;;1.95;1.95;0;0;1;1;4;0;2;0;0;5;4;0;;1;;6.61;2;0.11;1.94;0.09;;5.86
